Execution_ID,Execution_Date,Module,Test_Case_ID,Test_Title,Browser,Status,Duration_ms,Error_Message,Screenshot_Path,Trace_Path,Executed_By,Notes
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-001,CC-001/CC-003/CC-004: Completion heading and confirmation texts are visible,chromium,passed,10636,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-002,CC-002: Success icon is displayed,chromium,passed,8414,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-006,CC-006: Continue Shopping navigates to home page,chromium,passed,8000,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-005,CC-005: Cart is empty after order completion,chromium,passed,5198,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-007,CC-007: Direct access without finishing flow is guarded,chromium,passed,5421,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-008,CC-008: Completion page has no editable transactional inputs,chromium,passed,4591,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-009,CC-009: Completion CTA is keyboard accessible,chromium,passed,11396,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-010,CC-010: Completion page renders in mobile and desktop viewports,chromium,passed,5490,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-001,CC-001-S: @smoke Completion page shows thank-you confirmation,chromium,passed,14421,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-006,CC-006-S: @smoke Continue Shopping from completion goes to home,chromium,passed,8988,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-011,CC-011: @regression Order confirmation details are visible,chromium,passed,8816,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-012,CC-012: @regression Cart is cleared after order completion,chromium,passed,8374,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,7. CHECKOUT COMPLETE PAGE,CC-013,CC-013: @regression Completion page has no stale checkout inputs,chromium,passed,11712,,,,Test_Execute_Agent,
