Execution_ID,Execution_Date,Module,Test_Case_ID,Test_Title,Browser,Status,Duration_ms,Error_Message,Screenshot_Path,Trace_Path,Executed_By,Notes
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-001,CO-001/CO-002: Overview page renders product summary,chromium,passed,5280,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-003,"CO-003/CO-004/CO-005: Payment, shipping and totals sections are visible",chromium,passed,5844,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-008,CO-008: Cancel exits overview flow,chromium,passed,7062,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-009,CO-009: Finish completes order and opens completion page,chromium,passed,19858,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-006,CO-006: Grand total follows item total plus tax formula,chromium,passed,6385,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-007,CO-007: Overview page displays read-only order data,chromium,passed,7061,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-010,CO-010: Overview remains stable when backend fetch fails,chromium,passed,9373,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-011,CO-011: Unauthorized direct access is guarded,chromium,passed,7820,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-001,CO-001-S: @smoke Overview page renders product summary with price,chromium,passed,6644,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-009,CO-009-S: @smoke Finish button completes order and shows completion page,chromium,passed,13993,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-012,CO-012: @regression Payment section shows required info labels,chromium,passed,8709,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-013,CO-013: @regression Item count in overview matches cart item count,chromium,passed,8112,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,6. CHECKOUT OVERVIEW PAGE,CO-014,CO-014: @regression Overview page title and breadcrumb is correct,chromium,passed,6662,,,,Test_Execute_Agent,
